"No.","Time","Source","Destination","Protocol","Length","Info"
"5510","585.399011","10.112.112.19","10.112.112.11","TCP","54","57832  >  1883 [ACK] Seq=2475 Ack=11 Win=5734 Len=0"
"5515","586.032081","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"5516","586.076701","10.112.112.11","10.112.112.19","TCP","54","1883  >  57832 [ACK] Seq=11 Ack=2521 Win=64473 Len=0"
"5534","594.426193","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"5535","594.478257","10.112.112.11","10.112.112.19","TCP","54","1883  >  57832 [ACK] Seq=11 Ack=2567 Win=64427 Len=0"
"5570","604.059196","10.112.112.19","10.112.112.11","TCP","100","[TCP Spurious Retransmission] 57832  >  1883 [PSH, ACK] Seq=2521 Ack=11 Win=5734 Len=46"
"5571","604.059286","10.112.112.11","10.112.112.19","TCP","54","[TCP Dup ACK 5535#1] 1883  >  57832 [ACK] Seq=11 Ack=2567 Win=64427 Len=0"
"5572","604.069090","10.112.112.19","10.112.112.11","MQTT","838","Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Ping Request, Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor]"
"5573","604.069584","10.112.112.11","10.112.112.19","MQTT","56","Ping Response"
"5574","604.305719","10.112.112.19","10.112.112.11","TCP","54","57832  >  1883 [ACK] Seq=3351 Ack=13 Win=5732 Len=0"
"5591","606.186827","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"5592","606.236671","10.112.112.11","10.112.112.19","TCP","54","1883  >  57832 [ACK] Seq=13 Ack=3397 Win=65489 Len=0"
"5594","606.305716","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"5595","606.361757","10.112.112.11","10.112.112.19","TCP","54","1883  >  57832 [ACK] Seq=13 Ack=3443 Win=65443 Len=0"
"5598","607.024984","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"5599","607.078628","10.112.112.11","10.112.112.19","TCP","54","1883  >  57832 [ACK] Seq=13 Ack=3489 Win=65397 Len=0"
"5602","608.018536","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"5603","608.063777","10.112.112.11","10.112.112.19","TCP","54","1883  >  57832 [ACK] Seq=13 Ack=3535 Win=65351 Len=0"
"5610","609.050799","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"5611","609.093649","10.112.112.11","10.112.112.19","TCP","54","1883  >  57832 [ACK] Seq=13 Ack=3581 Win=65305 Len=0"
"5614","610.032362","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"5615","610.077438","10.112.112.11","10.112.112.19","TCP","54","1883  >  57832 [ACK] Seq=13 Ack=3627 Win=65259 Len=0"
"5619","612.564909","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"5620","612.619492","10.112.112.11","10.112.112.19","TCP","54","1883  >  57832 [ACK] Seq=13 Ack=3673 Win=65213 Len=0"
"5621","612.647309","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"5622","612.697168","10.112.112.11","10.112.112.19","TCP","54","1883  >  57832 [ACK] Seq=13 Ack=3719 Win=65167 Len=0"
